uuid,distance_mpc
1132537151362303900,81.73 
1220814180250341000,79.17 
1015743471355435000,70.93 
1033935020061930600,89.62 
1135838551071259200,63.58 
1140634680052701700,40.90 
1051133420211610900,59.89 
1214332901433258300,58.50 
1122046320065801400,78.74 
1174805321521325500,110.54 
1205519061003218900,100.98 
1140951360304428900,99.34 
1144917950301722200,95.04 
1182309261211453300,66.74 
1220041931193958500,108.06 
1181613341553529600,80.46 
1202835441254407600,60.17 
1204154991641252800,43.16 
1140634610341803900,70.11 
1113242931622557500,52.63 
1144509771091625100,104.36 
1221035580271457600,104.46 
1151928600095250900,73.76 
1222424371180418800,88.99 
1202812060030810500,64.98 
1232953241272240800,103.90 
1030655171413028900,69.30 
1153548441214419100,102.56 
1161420681031355000,86.97 
1134639190093835800,109.00 
1182238151154147600,76.34 
1040556750150843600,109.96 
1171011011213855400,63.92 
1203305300205121700,91.39 
1062438130234359000,101.42 
1000926581472115100,74.59 
1232516151135602300,60.61 
1185724310193414400,104.77 
1093829261761911900,32.84 
1201229960440635600,82.56 
1011518050065132800,86.97 
1235942761342041700,64.11 
1104630470163849100,108.04 
1133604011661803700,44.29 
1021137431340232600,89.61 
1044954540415617100,85.46 
1210231230053730900,109.13 
1203727830374318800,129.22 
1004924260202558500,93.50 
1095320010182508400,51.87 
1013605551114117900,84.67 
1073409121043257500,17.55 
1005854000241147400,86.97 
1074304601501721700,81.30 
1065827520284548500,32.72 
1163202281781241000,19.52 
1021615581283528700,43.11 
1095806111102133100,77.74 
1042503010143647400,75.96 
1151411020142057300,105.42 
1222648401353108600,87.22 
1040911651083853200,50.23 
1024807751213144000,103.78 
1080534560112616700,22.68 
1075109611620512100,93.45 
1025536031430327700,90.98 
1230732551230021200,90.56 
1053646900222439400,70.81 
1005522821302914600,74.53 
1092317671422248300,38.81 
1082257621274209100,86.06 
1042648891295707700,75.78 
1110158641451338700,86.88 
1085256161422446800,104.07 
1093608691061527700,34.85 
1093055210043414100,98.47 
1075831231260717100,87.27 
1025548951010442600,71.68 
1085340580250332600,110.85 
1025621300321111100,70.65 
1082430671183616500,85.74 
1050045970295130900,90.56 
1032455550024919000,86.81 
1100547690172604300,71.99 
1033928100130702400,59.98 
1182807941341814200,98.95 
1122612241581850600,10.33 
1233712091404316400,47.51 
1163615811661424900,105.26 
1220134490172747100,76.84 
1224737731395250700,74.03 
1023827991294531500,73.52 
1030602730153644000,37.39 
1220849681380904200,86.97 
1061310131502631800,82.97 
1082128081030951000,38.61 
1082017161205232300,72.95 
1105400960160121800,61.63 
1094231891070546300,108.96 
1124824960054739200,17.79 
1124241391131554800,15.76 
1065105771125456600,56.93 
1112642411204334100,91.34 
1065558800362752700,136.85 
1090559711352223400,102.76 
1222753551192737900,86.97 
1131657310163704900,25.00 
1031651011804704900,33.66 
1112721321593748900,73.98 
1024241270000031900,16.29 
1003120311304737400,93.42 
1102952351204009400,84.37 
1133919911344122200,100.77 
1100108920192633100,50.16 
1222444461122137700,74.06 
1090436920194709200,81.03 
1031756280001007900,99.43 
1022109800040423400,91.39 
1015518151052932400,95.25 
1032602140173346700,63.14 
1112333230083904400,53.11 
1080007071584235200,83.50 
1125648351035327400,108.79 
1115956930003301400,94.79 
1113132460021833500,68.61 
1101209340385303900,76.67 
1090923950081049700,74.68 
1015050671482113400,102.46 
1221440690272750800,75.52 
1094713520245208700,60.06 
1221607950365056800,49.32 
1130839570412716500,45.03 
1160242471151411300,66.14 
1055034641131757200,47.51 
1063030141742642000,77.85 
1144132901481213900,78.16 
1104633071134430800,43.78 
